filename,original_local_path,local_path,content_type,pages,association,font_families,bytes,sha256,source_url
2f5108b85fd4d2cf81ed.pdf,/assets/2f5108b85fd4d2cf81ed.pdf,/assets/documents/2f5108b85fd4d2cf81ed.pdf,application/pdf,/info,shared,,134332,13d26da892fb29ceb563cb43d664b1178276a9730705ed614ece010a47297bbf,https://www.jiaqiliu.com/_files/ugd/430132_0c8c96a57057435298d6d9eba814c136.pdf
00915920e370420b6f07.woff2,/assets/00915920e370420b6f07.woff2,/assets/fonts/00915920e370420b6f07.woff2,font/woff2,,shared,helvetica-w01-roman,36712,fcdfd6f1841b7b145fc382858a45c8342ab62abb0766db43431ab2de54253e97,https://static.parastorage.com/fonts/v2/2af1bf48-e783-4da8-9fa0-599dde29f2d5/v1/helvetica-w01-roman.woff2
02558e81e565fbe1e699.woff2,/assets/02558e81e565fbe1e699.woff2,/assets/fonts/02558e81e565fbe1e699.woff2,font/woff2,/; /01001001-00100000-01000100-01001111; /ads-named-desire; /aesthetics-under-the-microscope; /artist-statement; /breathe; /dear-water; /info; /maslows-hierarchy-of-needs; /mirage; /on-the-avant-garde-responses-and-how-an-artwork-can-stand-out; /on-the-distinctions-between-ai-works-and-art-works; /peace-and-peace; /pointillism; /projects; /random-thoughts; /song-of-a-lonely-bird; /song-of-a-lonely-bird-a-re-creation; /texts; /the-clock,shared,helvetica-w01-light,22492,2be90a76ac71b5abf5eb25f5a2feb93819852f99957e5b121df8ecad0190a5a5,https://static.parastorage.com/fonts/v2/8eac109b-0fa9-42bf-a305-43e471e23779/v1/helvetica-w02-light.woff2
02784fdab3c1d0e78475.woff2,/assets/02784fdab3c1d0e78475.woff2,/assets/fonts/02784fdab3c1d0e78475.woff2,font/woff2,/artist-statement,artist-statement,barlow-extralight,23456,891868103f6fa64d35447ff2c2089f5efcd8b3157ea459156c3046ff30e705ce,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/barlow/v1/51v0xj5VPw1cLYHNhfd8NFtXRa8TVwTICgirnJhmVJw.woff2
050d6b3d5e9a4d99c018.woff2,/assets/050d6b3d5e9a4d99c018.woff2,/assets/fonts/050d6b3d5e9a4d99c018.woff2,font/woff2,/; /01001001-00100000-01000100-01001111; /ads-named-desire; /aesthetics-under-the-microscope; /artist-statement; /breathe; /dear-water; /fullscreen-page; /info; /maslows-hierarchy-of-needs; /mirage; /on-the-avant-garde-responses-and-how-an-artwork-can-stand-out; /on-the-distinctions-between-ai-works-and-art-works; /peace-and-peace; /pointillism; /projects; /random-thoughts; /song-of-a-lonely-bird; /song-of-a-lonely-bird-a-re-creation; /texts; /the-clock,shared,avenir-lt-w01_35-light1475496,24560,8f0df435bfdc31c4ae406019c9d872754028b5ecb2125dc9322890f42af1a308,https://static.parastorage.com/fonts/v2/af36905f-3c92-4ef9-b0c1-f91432f16ac1/v1/avenir-lt-w05_35-light.woff2
14f11a9f7dea1acccf1b.woff2,/assets/14f11a9f7dea1acccf1b.woff2,/assets/fonts/14f11a9f7dea1acccf1b.woff2,font/woff2,/artist-statement,artist-statement,barlow,4168,1234fe69b3e5119fec7d75829c67889ca439e8d64dbbb94953fee06328b8884d,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/barlow/v12/7cHsv4kjgoGqM7E_CfOA5WohvToJdLm8BvE.woff2
180f514cb2612eb5dadf.woff2,/assets/180f514cb2612eb5dadf.woff2,/assets/fonts/180f514cb2612eb5dadf.woff2,font/woff2,/artist-statement,artist-statement,barlow,9512,56856a3adcaba62af93a726fa54756fd78a56f1b6a2a672f7b9e7606b37ddb31,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/barlow/v12/7cHsv4kjgoGqM7E_CfOA5WogvToJdLm8BvE.woff2
1ef75a7989e0293f381e.woff2,/assets/1ef75a7989e0293f381e.woff2,/assets/fonts/1ef75a7989e0293f381e.woff2,font/woff2,/artist-statement,artist-statement,barlow,4004,50d83822f9ac181209a5e755b0c055da97d64c2e5532bb400988b206281ab208,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/barlow/v12/7cHqv4kjgoGqM7E3t-4s6Fostz0rdom9.woff2
2c9d6bb3baf447c70822.woff2,/assets/2c9d6bb3baf447c70822.woff2,/assets/fonts/2c9d6bb3baf447c70822.woff2,font/woff2,/; /01001001-00100000-01000100-01001111; /ads-named-desire; /aesthetics-under-the-microscope; /artist-statement; /breathe; /dear-water; /fullscreen-page; /info; /maslows-hierarchy-of-needs; /mirage; /on-the-avant-garde-responses-and-how-an-artwork-can-stand-out; /on-the-distinctions-between-ai-works-and-art-works; /peace-and-peace; /pointillism; /projects; /random-thoughts; /song-of-a-lonely-bird; /song-of-a-lonely-bird-a-re-creation; /texts; /the-clock,shared,poppins,8676,4eaac5c96bd47f9fd1f09c91f0b27b5a93346ed7e94de849c835f2116cea3e1d,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/poppins/v21/pxiGyp8kv8JHgFVrJJLucHtAOvWDSA.woff2
2e7b8b2962b57173d737.woff2,/assets/2e7b8b2962b57173d737.woff2,/assets/fonts/2e7b8b2962b57173d737.woff2,font/woff2,/artist-statement,artist-statement,barlow,8872,ca1544de9ac527c5a0d87547198c9bac69dbea17a48c569ab71609ecfb9727c9,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/barlow/v12/7cHqv4kjgoGqM7E3t-4s6Vostz0rdom9.woff2
